seed,rank_within_seed,departure_date,launch_epoch,arrival_epoch,total_dsm_kms,objective_total_dv_kms,c3_kms2,arrival_vinf_kms,total_tof_years,detail_file,detail_json_path
seed42,21,2034-03-30,2034-Mar-30 23:29:19.670124,2041-Nov-05 05:15:37.846925,1.941433007605,1.941433007605,14.805543234014,5.420623420764,7.600932205770,rank_021.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_021.json
seed2718,4,2036-03-24,2036-Mar-24 18:32:47.479816,2042-Mar-31 16:19:28.531268,2.015358567699,2.015358567699,15.000000000000,6.259968922979,6.017542558732,rank_004.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed2718/candidate_details/rank_004.json
seed42,22,2034-03-30,2034-Mar-30 23:29:19.670124,2041-Nov-13 03:24:38.932397,2.017671271757,2.017671271757,14.687622329312,5.361932624255,7.622624003799,rank_022.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_022.json
seed42,23,2034-03-30,2034-Mar-30 23:29:19.670124,2041-Nov-13 03:24:38.932397,2.020998146841,2.020998146841,14.687622329312,5.358954000330,7.622624003799,rank_023.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_023.json
seed42,24,2034-03-30,2034-Mar-30 23:29:19.670124,2041-Nov-18 06:18:48.524538,2.408882737141,2.408882737141,14.687622329312,5.309968962676,7.636644385328,rank_024.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_024.json
seed2718,5,2032-09-10,2032-Sep-10 00:22:40.482781,2042-Mar-19 11:25:20.958738,2.640246733387,2.640246733387,15.000000000000,6.298836743794,9.520767120312,rank_005.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed2718/candidate_details/rank_005.json
seed2718,6,2032-09-22,2032-Sep-22 03:26:15.829171,2042-Apr-18 19:08:46.552158,2.799992077339,2.799992077339,15.000000000000,6.412541634707,9.570580485303,rank_006.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed2718/candidate_details/rank_006.json
seed314,30,2034-12-07,2034-Dec-07 04:29:22.818312,2042-Oct-06 20:45:17.639653,2.841208671074,2.841208671074,14.098499856879,5.885267819007,7.832108741518,rank_030.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_030.json
seed314,31,2034-12-07,2034-Dec-07 04:29:22.818312,2042-Oct-28 00:13:38.757208,2.870371330659,2.870371330659,13.888229616880,5.866876887357,7.889999744559,rank_031.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_031.json
seed2718,7,2032-10-03,2032-Oct-03 02:18:07.995472,2042-Jun-04 16:38:40.184083,2.948397464862,2.948397464862,15.000000000000,6.502006627962,9.668987254690,rank_007.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed2718/candidate_details/rank_007.json
seed314,32,2032-07-03,2032-Jul-03 13:39:39.943995,2040-Jun-24 11:31:50.688745,2.969367192765,2.969367192765,10.666219153986,5.472722436373,7.975116318882,rank_032.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_032.json
seed2718,8,2032-09-28,2032-Sep-28 08:38:35.360987,2042-Apr-06 19:32:12.798946,3.015530128058,3.015530128058,15.000000000000,6.358311582404,9.520749912476,rank_008.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed2718/candidate_details/rank_008.json
seed314,33,2034-12-07,2034-Dec-07 04:29:22.818312,2042-Sep-28 09:55:44.737036,3.027391648548,3.027391648548,14.098499856879,5.876649576279,7.808970958461,rank_033.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_033.json
seed314,34,2034-12-09,2034-Dec-09 21:51:11.524571,2042-Dec-13 11:28:23.960411,3.049984113966,3.049984113966,13.864047763607,5.989318851531,8.009767296494,rank_034.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_034.json
